cat,count,percent,region
total,2145,100.0,cds
polarised,838,39.0675990676,cds
hotspot,446,20.7925407925,cds
low_coverage,95,4.4289044289,cds
not_aligned,737,34.358974359,cds
ambiguous,29,1.35198135198,cds
unpolarised,1307,60.9324009324,cds
total,647935,100.0,intron
polarised,312830,48.2810775772,intron
hotspot,147636,22.7856189278,intron
low_coverage,20032,3.09166814572,intron
not_aligned,156190,24.1058130831,intron
ambiguous,11247,1.73582226612,intron
unpolarised,335105,51.7189224228,intron
total,550956,100.0,intergenic
polarised,258524,46.9228032729,intergenic
hotspot,129213,23.4525080043,intergenic
low_coverage,21303,3.86655195696,intergenic
not_aligned,132526,24.0538264399,intergenic
ambiguous,9390,1.70431032605,intergenic
unpolarised,292432,53.0771967271,intergenic
