run,imp,exit_code,theta,scale,shape,gamma,e,var_type,site_class,sel_type,lnL,boundaries_hit,searches,converged,model,params,region
3,1,3,0.000158571597633,na,na,0,0,ins,1,neu,81381.2268266,neu_ins_e_1,5000,True,indel_continuous_1class,30,cds
3,1,3,0.000253319832816,na,na,0,0.0127490161889,del,1,neu,81381.2268266,neu_ins_e_1,5000,True,indel_continuous_1class,30,cds
3,1,3,1.31458082968e-05,110.458533844,0.403749422778,na,0.0407886863281,ins,1,sel,81381.2268266,neu_ins_e_1,5000,True,indel_continuous_1class,30,cds
3,1,3,2.85523117814e-05,92.9287258384,0.624920403373,na,0.0188613200905,del,1,sel,81381.2268266,neu_ins_e_1,5000,True,indel_continuous_1class,30,cds
52,1,3,0.000160503947961,na,na,0,0,ins,1,neu,2157138.48114,neu_ins_e_1,5000,True,indel_continuous_1class,30,intergenic
52,1,3,0.000255988003793,na,na,0,0.0121286459351,del,1,neu,2157138.48114,neu_ins_e_1,5000,True,indel_continuous_1class,30,intergenic
52,1,3,0.000157876006129,234.00766978,0.0265709980467,na,0.01127827588,ins,1,sel,2157138.48114,neu_ins_e_1,5000,True,indel_continuous_1class,30,intergenic
52,1,3,0.000256774924483,94.1557194463,0.118234323646,na,0.0171306578934,del,1,sel,2157138.48114,neu_ins_e_1,5000,True,indel_continuous_1class,30,intergenic
81,1,3,0.000160563212752,na,na,0,0,ins,1,neu,2707293.55626,neu_ins_e_1,5000,True,indel_continuous_1class,30,intron
81,1,3,0.000255923423604,na,na,0,0.0118906063967,del,1,neu,2707293.55626,neu_ins_e_1,5000,True,indel_continuous_1class,30,intron
81,1,3,0.000158148945903,80.5358015452,0.040800539047,na,0.0120931501409,ins,1,sel,2707293.55626,neu_ins_e_1,5000,True,indel_continuous_1class,30,intron
81,1,3,0.000251028436728,114.380464053,0.123346993637,na,0.0158468861673,del,1,sel,2707293.55626,neu_ins_e_1,5000,True,indel_continuous_1class,30,intron
